name,point,date,percent
남산의 부장들,08.04,20.01.22,55.42
히트맨,07.01,20.01.22,22.91
미스터 주: 사라진 VIP,06.00,20.01.22,6.13
스파이 지니어스,08.09,20.01.22,5.77
해치지않아,06.06,20.01.15,3.42
닥터 두리틀,06.07,20.01.08,1.46
나쁜 녀석들 : 포에버,06.07,20.01.15,0.92
타오르는 여인의 초상,08.04,20.01.16,0.8
오즈의 마법사: 요술구두와 말하는 책,02.08,20.01.22,0.42
백두산,06.05,19.12.19,0.36
겨울왕국 2,07.04,19.11.21,0.34
스타워즈: 라이즈 오브 스카이워커,06.09,20.01.08,0.26
하이큐!! 땅 VS 하늘,07.02,20.01.23,0.24
천문: 하늘에 묻는다,08.03,19.12.26,0.22
나이브스 아웃,08.02,19.12.04,0.14
신비아파트 극장판 하늘도깨비 대 요르문간드,07.07,19.12.19,0.14
포드 V 페라리,08.06,19.12.04,0.14
사마에게,09.02,20.01.23,0.14
파바로티,08.08,20.01.01,0.11
피아니스트의 전설,09.01,20.01.01,0.09
